Date,Time,Para_name,Value,Dimension
01/28/2020,17:33:56,PYGEN_READ,1,BIN
01/28/2020,17:33:56,GEN_V_L1-N,0,V
01/28/2020,17:33:57,GEN_V_L2-N,0,V
01/28/2020,17:33:57,GEN_V_L3-N,0,V
01/28/2020,17:33:57,GEN_V_L1-L2,0,V
01/28/2020,17:33:58,GEN_V_L2-L3,0,V
01/28/2020,17:33:58,GEN_V_L3-L1,0,V
01/28/2020,17:33:59,GEN_I_L1,0,A
01/28/2020,17:33:59,GEN_I_L2,0,A
01/28/2020,17:33:59,GEN_I_L3,0,A
01/28/2020,17:34:00,GEN_RPM,0,RPM
01/28/2020,17:34:00,GEN_FREQ,0.0,Hz
01/28/2020,17:34:00,GEN_kW,0,kW
01/28/2020,17:34:01,GEN_kW_L1,0,kW
01/28/2020,17:34:01,GEN_kW_L2,0,kW
01/28/2020,17:34:01,GEN_kW_L3,0,kW
01/28/2020,17:34:02,GEN_NOM_kVA,800,kVA
01/28/2020,17:34:02,GEN_kVAr,0,kVAr
01/28/2020,17:34:03,GEN_KVAr_L1,0,kVAr
01/28/2020,17:34:03,GEN_kVAr_L2,0,kVAr
01/28/2020,17:34:03,GEN_kVAr_L3,0,kVAr
01/28/2020,17:34:04,GEN_PF,0.0,UNIT
01/28/2020,17:34:04,GEN_PF_L1,0.0,UNIT
01/28/2020,17:34:04,GEN_PF_L2,0.0,UNIT
01/28/2020,17:34:05,GEN_PF_L3,0.0,UNIT
01/28/2020,17:34:05,GEN_kVA,0,kVA
01/28/2020,17:34:06,GEN_kVA_L1,0,kVA
01/28/2020,17:34:06,GEN_kVA_L2,0,kVA
01/28/2020,17:34:06,GEN_kVA_L3,0,kVA
01/28/2020,17:34:07,GEN_E_FAULT,655.35,A
01/28/2020,17:34:07,BAT_VOLT,21.4,V
01/28/2020,17:34:07,CHR_VOLT,21.3,V
01/28/2020,17:34:08,OIL_PRESS,3276.8,BAR
01/28/2020,17:34:08,ENG_TEMP,32768,DEG CELCIUS
01/28/2020,17:34:08,FUEL_LEVEL,32768,%
01/28/2020,17:34:09,PYGEN_READ,0,BIN
